source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/errors.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/idempotency-and-retries.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/observability.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/overview.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/register-source.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/schema-discovery.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/customer-push/submit-records.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/troubleshooting/authentication.md	prototype-page	prototype-wip			troubleshooting			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/troubleshooting/delivery-and-rate-limits.md	prototype-page	prototype-wip			troubleshooting			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/troubleshooting/index.md	prototype-page	prototype-wip			troubleshooting			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/troubleshooting/schema-and-validation.md	prototype-page	prototype-wip			troubleshooting			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/webhooks/configure.md	prototype-page	prototype-wip			configuration-reference			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/webhooks/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/webhooks/retries-and-replay.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/integrate/webhooks/verify-signatures.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/databases-and-storage.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/environment-and-secrets.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/external-services.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/network-and-tls.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/configure/workers-and-schedules.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/install/index.md	prototype-page	prototype-wip			landing			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/install/local-evaluation.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/install/production.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/install/verify-health.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
full-chaos/dev-health-ops	docs-prototype/operate/maintain/backup-and-restore.md	prototype-page	prototype-wip			explanation			documentation-v2-prototype			False	False							Review-only v2 prototype; not part of the current public site.
